customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
53,Pedro,Pérez,pedro.pérez53@email.com,+1 398-546-7436,2001-09-26,Buenos Aires,México,23110,Bronze,2022-04-19,2024-02-02,true,0
54,Mateo,Martínez,mateo.martínez54@email.com,+1 989-348-2642,1962-03-29,La Plata,Argentina,81465,Silver,2020-12-08,2024-05-08,true,1
55,Ana,Fernández,ana.fernández55@email.com,+1 574-484-4516,1985-01-13,Salta,Argentina,47075,Bronze,2024-05-26,2025-08-30,true,0
56,Ana,López,ana.lópez56@email.com,+1 284-697-5559,1994-10-09,Buenos Aires,Colombia,31066,Platinum,2024-03-29,2025-08-05,true,0
57,Martín,López,martín.lópez57@email.com,+1 904-884-9977,1972-12-30,Mendoza,Colombia,66846,Bronze,2020-08-01,2025-08-04,true,1
58,Gabriel,Sánchez,gabriel.sánchez58@email.com,+1 748-761-3940,1971-10-21,Buenos Aires,Perú,37044,Bronze,2021-07-27,2025-11-22,true,0
59,Ana,Rodríguez,ana.rodríguez59@email.com,+1 691-986-6098,1980-03-31,Salta,Uruguay,98087,Silver,2021-04-04,2024-08-06,true,0
60,Ana,López,ana.lópez60@email.com,+1 696-972-2033,1988-07-06,Salta,Argentina,25442,Bronze,2020-11-23,2022-08-26,true,1
61,Lucía,Pérez,lucía.pérez61@email.com,+1 543-630-4840,1960-07-23,Salta,Argentina,51498,Gold,2022-12-28,2023-10-10,true,0
62,Martín,González,martín.gonzález62@email.com,+1 277-401-2731,1961-07-22,Neuquén,Argentina,24732,Silver,2023-12-04,2025-11-30,true,0
63,Carlos,Fernández,carlos.fernández63@email.com,+1 519-424-7297,1978-04-27,Buenos Aires,Perú,14466,Gold,2022-06-03,2023-02-07,true,0
64,Valentina,García,valentina.garcía64@email.com,+1 423-579-2868,1985-01-09,Mar del Plata,Argentina,46514,Bronze,2020-12-11,2024-08-09,true,0
65,Lucía,Martínez,lucía.martínez65@email.com,+1 587-853-6171,1983-02-22,Mar del Plata,Argentina,80862,Platinum,2023-05-26,2025-09-28,true,1
66,Laura,Sánchez,laura.sánchez66@email.com,+1 810-826-7159,1985-09-02,La Plata,Perú,79680,Silver,2023-07-27,2024-04-09,true,0
67,Pedro,Martínez,pedro.martínez67@email.com,+1 392-209-6727,1987-10-17,Salta,Argentina,55094,Silver,2020-09-28,2024-01-19,true,1
68,Lucas,Martínez,lucas.martínez68@email.com,+1 797-958-2712,1999-08-11,Mar del Plata,Chile,23779,Platinum,2023-05-08,2024-07-31,true,1
69,Sofía,Torres,sofía.torres69@email.com,+1 877-378-7972,1989-04-10,La Plata,Argentina,29222,Silver,2020-01-21,2021-07-20,false,0
70,Lucas,Sánchez,lucas.sánchez70@email.com,+1 985-112-2655,1969-11-21,Rosario,Argentina,79838,Silver,2024-04-19,2025-01-04,true,0
71,Laura,González,laura.gonzález71@email.com,+1 692-508-8989,1988-12-13,Buenos Aires,Argentina,82627,Bronze,2024-02-25,2024-11-16,true,0
72,Carlos,Ramírez,carlos.ramírez72@email.com,+1 963-503-4405,1972-03-05,Mar del Plata,Colombia,81561,Bronze,2021-01-12,2021-03-27,true,0
73,Juan,López,juan.lópez73@email.com,+1 606-117-1617,1985-05-31,Salta,México,40488,Silver,2022-05-04,2023-11-19,true,0
74,María,Martínez,maría.martínez74@email.com,+1 395-925-9983,1984-06-28,Santa Fe,Colombia,12158,Silver,2020-08-24,2024-04-26,true,0
75,Lucas,Sánchez,lucas.sánchez75@email.com,+1 297-751-4043,2000-03-10,Mendoza,Uruguay,83277,Platinum,2023-10-13,2025-02-01,true,1
76,Gabriel,Ramírez,gabriel.ramírez76@email.com,+1 211-935-7188,2001-05-12,Mendoza,México,79157,Platinum,2023-05-01,2023-09-08,true,0
77,Lucas,Martínez,lucas.martínez77@email.com,+1 260-933-4833,1998-01-20,Córdoba,Uruguay,82233,Silver,2020-12-26,2021-10-09,true,0
78,Martín,Martínez,martín.martínez78@email.com,+1 729-338-1830,1983-03-06,Neuquén,Argentina,80103,Bronze,2021-05-08,2025-12-13,true,0
79,María,Torres,maría.torres79@email.com,+1 377-229-8640,1960-06-02,Salta,Colombia,99914,Gold,2023-07-31,2025-10-12,false,0
80,Lucía,Martínez,lucía.martínez80@email.com,+1 809-480-4727,1960-02-04,Salta,México,40490,Bronze,2021-03-03,2021-11-01,true,1
81,Camila,Fernández,camila.fernández81@email.com,+1 992-384-4689,1964-07-09,Santa Fe,Chile,37666,Silver,2020-10-30,2021-03-09,false,1
82,Ana,González,ana.gonzález82@email.com,+1 894-101-8134,1978-05-26,La Plata,México,80478,Silver,2021-08-08,2024-08-15,true,1
83,Lucas,Pérez,lucas.pérez83@email.com,+1 661-923-3150,1987-05-26,La Plata,Argentina,30327,Gold,2022-06-01,2025-03-17,true,0
84,Mateo,Rodríguez,mateo.rodríguez84@email.com,+1 497-452-5160,1987-06-09,Córdoba,Colombia,88161,Platinum,2022-02-28,2022-08-22,true,1
85,Carlos,González,carlos.gonzález85@email.com,+1 565-697-9809,1974-10-15,Santa Fe,Colombia,84910,Silver,2020-04-29,2022-12-06,true,0
86,Carlos,García,carlos.garcía86@email.com,+1 968-955-3169,1977-12-17,Rosario,Argentina,44172,Platinum,2020-06-27,2025-08-04,true,1
87,Sofía,Sánchez,sofía.sánchez87@email.com,+1 789-858-4581,1963-11-19,Buenos Aires,Argentina,16382,Gold,2022-07-02,2025-11-12,true,1
88,Martín,Pérez,martín.pérez88@email.com,+1 319-817-2848,1972-12-04,Neuquén,Uruguay,57019,Silver,2022-09-02,2025-03-22,true,1
89,Pedro,Fernández,pedro.fernández89@email.com,+1 931-798-7489,1993-08-22,Tucumán,Argentina,97922,Gold,2021-06-07,2024-01-19,true,0
90,Laura,García,laura.garcía90@email.com,+1 852-792-6696,1982-10-30,Salta,Argentina,59721,Gold,2020-11-04,2021-07-13,true,0
91,Carlos,Torres,carlos.torres91@email.com,+1 701-839-6968,1969-02-01,Mendoza,Colombia,76990,Gold,2023-11-02,2025-02-26,false,1
92,Ana,Martínez,ana.martínez92@email.com,+1 314-511-8048,1972-02-07,Mendoza,Colombia,27878,Silver,2022-05-18,2024-04-22,true,1
93,Pedro,Fernández,pedro.fernández93@email.com,+1 236-433-1632,1981-10-13,Neuquén,Argentina,85873,Platinum,2020-10-23,2022-06-23,true,0
94,Lucía,Fernández,lucía.fernández94@email.com,+1 740-567-2681,1985-07-27,Mendoza,Chile,36756,Bronze,2021-05-05,2022-04-28,false,1
95,Camila,Fernández,camila.fernández95@email.com,+1 455-904-7527,2000-10-25,Rosario,Chile,30089,Silver,2021-09-02,2023-04-16,true,1
96,Laura,Ramírez,laura.ramírez96@email.com,+1 968-137-5900,1988-04-08,Santa Fe,Colombia,10238,Bronze,2021-04-23,2025-05-26,true,1
97,Mateo,Rodríguez,mateo.rodríguez97@email.com,+1 815-680-9440,1960-12-08,Neuquén,Argentina,46266,Bronze,2023-06-23,2023-09-29,false,1
98,Diego,Martínez,diego.martínez98@email.com,+1 584-935-7671,1964-05-13,La Plata,Argentina,74493,Bronze,2023-06-16,2024-11-01,false,0
99,Mateo,Martínez,mateo.martínez99@email.com,+1 257-309-6781,1973-02-20,Neuquén,Chile,13831,Gold,2023-07-12,2025-12-20,true,0
100,María,López,maría.lópez100@email.com,+1 836-890-1391,1976-09-01,Santa Fe,Perú,17272,Platinum,2021-08-08,2024-03-17,true,1
101,Ana,García,ana.garcía101@email.com,+1 218-871-6473,2005-03-20,Mar del Plata,Argentina,34337,Platinum,2023-03-13,2026-01-01,true,0
102,Ana,Torres,ana.torres102@email.com,+1 942-510-7573,1994-10-25,La Plata,Argentina,47229,Silver,2021-08-26,2022-10-28,false,1
103,Diego,García,diego.garcía103@email.com,+1 565-994-5995,2004-05-17,Neuquén,Argentina,43833,Gold,2023-01-07,2024-09-04,true,0
104,Juan,Fernández,juan.fernández104@email.com,+1 923-749-2021,1993-08-06,Mendoza,Argentina,47078,Silver,2021-02-23,2021-04-06,true,1
105,Juan,González,juan.gonzález105@email.com,+1 463-259-8877,1971-06-12,Córdoba,Argentina,65326,Gold,2024-02-21,2024-12-26,true,1
106,Laura,Torres,laura.torres106@email.com,+1 456-196-5696,1972-07-31,Salta,Chile,93276,Gold,2023-04-29,2025-07-12,true,1
107,Gabriel,Martínez,gabriel.martínez107@email.com,+1 914-968-5285,1969-01-19,La Plata,Colombia,66987,Platinum,2020-11-05,2024-07-16,true,0
108,Pedro,Ramírez,pedro.ramírez108@email.com,+1 538-488-4087,1987-04-22,Mar del Plata,Argentina,85884,Silver,2021-07-06,2022-01-03,true,1
109,Lucas,García,lucas.garcía109@email.com,+1 615-472-3954,1982-01-28,Rosario,Colombia,86215,Gold,2023-05-01,2024-03-06,false,0
110,Carlos,Sánchez,carlos.sánchez110@email.com,+1 274-929-2105,1991-04-08,Buenos Aires,Colombia,82808,Platinum,2020-01-05,2022-12-19,true,0
111,Martín,Martínez,martín.martínez111@email.com,+1 238-455-8719,1998-01-13,Córdoba,Colombia,97249,Gold,2021-05-25,2021-06-27,false,1
112,María,Fernández,maría.fernández112@email.com,+1 862-172-3753,1989-08-21,Neuquén,Uruguay,84179,Platinum,2023-11-15,2025-06-08,false,0
113,Diego,García,diego.garcía113@email.com,+1 413-844-8834,1980-03-28,Santa Fe,Uruguay,71278,Silver,2021-10-26,2023-04-13,false,0
114,Juan,Sánchez,juan.sánchez114@email.com,+1 827-187-1513,1998-08-16,Mar del Plata,Colombia,91892,Gold,2023-11-19,2024-12-08,true,1
115,María,Fernández,maría.fernández115@email.com,+1 399-825-9445,1967-07-20,Salta,Chile,20162,Silver,2022-01-30,2024-11-08,true,0
116,Valentina,Martínez,valentina.martínez116@email.com,+1 201-817-3306,1974-04-16,Santa Fe,Argentina,15523,Silver,2023-07-09,2024-06-04,true,0
117,Lucas,Rodríguez,lucas.rodríguez117@email.com,+1 868-352-2883,1968-07-07,Buenos Aires,Argentina,20218,Bronze,2024-05-21,2025-11-28,true,0
118,Carlos,Pérez,carlos.pérez118@email.com,+1 597-261-6892,1994-12-12,Córdoba,Perú,81693,Platinum,2022-07-24,2025-09-29,true,1
119,Gabriel,Ramírez,gabriel.ramírez119@email.com,+1 599-308-9326,1974-11-02,Buenos Aires,México,40747,Silver,2023-10-23,2025-12-24,false,0
120,Laura,Rodríguez,laura.rodríguez120@email.com,+1 898-860-9618,1963-02-09,Córdoba,Chile,96280,Silver,2021-10-17,2024-06-19,false,0
121,Diego,Ramírez,diego.ramírez121@email.com,+1 873-499-5700,1991-12-04,Mendoza,Argentina,75721,Gold,2020-11-07,2022-04-12,true,1
122,Mateo,González,mateo.gonzález122@email.com,+1 979-144-4384,1999-06-23,Rosario,Argentina,92332,Gold,2020-09-11,2020-11-11,true,0
123,Ana,López,ana.lópez123@email.com,+1 768-325-8786,1974-01-31,La Plata,Colombia,68438,Bronze,2024-04-25,2024-11-08,true,1
124,Carlos,González,carlos.gonzález124@email.com,+1 915-347-2894,1960-01-15,Salta,México,78106,Gold,2024-03-17,2025-09-23,false,0
125,Pedro,Torres,pedro.torres125@email.com,+1 579-920-3958,2005-10-26,Córdoba,Chile,93815,Silver,2023-11-02,2025-02-17,true,1
126,Camila,González,camila.gonzález126@email.com,+1 623-711-5390,1961-05-14,La Plata,Chile,12429,Silver,2021-11-19,2025-05-08,false,0
127,Sofía,Torres,sofía.torres127@email.com,+1 902-348-6427,1987-11-04,Mendoza,Chile,53527,Gold,2021-12-25,2024-06-01,true,0
128,Carlos,López,carlos.lópez128@email.com,+1 469-572-8722,2000-07-07,Córdoba,Argentina,24285,Gold,2023-06-07,2023-10-15,true,1
129,Gabriel,López,gabriel.lópez129@email.com,+1 323-172-4804,1990-10-14,La Plata,Argentina,72187,Silver,2023-09-02,2025-12-03,true,1
130,María,González,maría.gonzález130@email.com,+1 301-517-3606,1964-10-01,Santa Fe,Argentina,89509,Gold,2021-04-03,2022-08-26,true,1
131,Camila,Rodríguez,camila.rodríguez131@email.com,+1 502-914-4705,2005-09-13,Neuquén,Colombia,37265,Gold,2024-02-19,2025-04-10,false,1
132,Lucía,González,lucía.gonzález132@email.com,+1 752-573-1315,1978-11-06,Santa Fe,Argentina,97700,Bronze,2020-11-11,2022-11-28,false,0
133,Juan,González,juan.gonzález133@email.com,+1 647-607-1539,1973-09-11,Salta,Argentina,99260,Silver,2021-06-25,2026-01-23,false,0
134,María,Fernández,maría.fernández134@email.com,+1 288-872-4908,1999-11-26,Mendoza,Chile,21394,Silver,2024-02-12,2024-05-26,false,1
135,Camila,Fernández,camila.fernández135@email.com,+1 417-902-4732,1973-10-19,Tucumán,México,54321,Silver,2024-02-11,2024-12-18,true,0
136,Martín,Pérez,martín.pérez136@email.com,+1 942-363-2678,1972-09-02,Salta,México,50139,Bronze,2020-03-25,2023-04-03,true,0
137,Juan,Rodríguez,juan.rodríguez137@email.com,+1 916-128-7444,1981-10-15,Rosario,Argentina,56617,Platinum,2022-06-02,2026-01-04,true,1
138,Lucas,Pérez,lucas.pérez138@email.com,+1 863-343-4284,1980-10-17,Neuquén,Argentina,82203,Bronze,2024-03-28,2024-08-17,false,0
139,Ana,Rodríguez,ana.rodríguez139@email.com,+1 939-209-9601,1963-01-24,Mar del Plata,Argentina,85753,Bronze,2024-02-10,2024-11-13,true,0
140,Mateo,Martínez,mateo.martínez140@email.com,+1 278-497-2232,1979-07-02,Rosario,Perú,12113,Bronze,2022-01-22,2024-11-02,false,1
141,Pedro,González,pedro.gonzález141@email.com,+1 963-673-4951,1977-02-27,Salta,Chile,41256,Gold,2022-05-12,2023-11-15,true,0
142,Camila,López,camila.lópez142@email.com,+1 469-245-6816,1978-03-20,Salta,Chile,49115,Silver,2023-12-04,2025-01-26,true,0
143,Martín,Rodríguez,martín.rodríguez143@email.com,+1 593-717-7099,1968-03-04,Córdoba,Uruguay,19039,Silver,2023-02-10,2024-08-20,false,0
144,Lucas,García,lucas.garcía144@email.com,+1 608-201-6494,1984-09-24,La Plata,Argentina,68470,Bronze,2020-12-20,2025-08-07,true,1
145,Valentina,Martínez,valentina.martínez145@email.com,+1 448-169-5573,1976-01-07,Neuquén,Argentina,49408,Bronze,2020-05-01,2022-02-02,false,1
146,Mateo,López,mateo.lópez146@email.com,+1 205-882-6802,1973-03-02,Mendoza,Argentina,67955,Gold,2020-03-29,2021-03-31,true,0
147,Lucas,García,lucas.garcía147@email.com,+1 258-409-5028,1970-04-12,Santa Fe,Perú,73905,Gold,2021-03-17,2025-08-28,true,0
148,Valentina,Rodríguez,valentina.rodríguez148@email.com,+1 420-384-9889,2005-05-27,Mar del Plata,Colombia,35768,Bronze,2021-04-03,2024-05-02,true,0
149,María,García,maría.garcía149@email.com,+1 580-901-5610,1971-12-12,Salta,Uruguay,35334,Platinum,2020-11-14,2022-07-18,true,0
150,Pedro,González,pedro.gonzález150@email.com,+1 979-860-7944,1963-01-20,Neuquén,Argentina,45585,Gold,2022-11-25,2025-02-17,false,1
151,Lucía,González,lucía.gonzález151@email.com,+1 634-446-4359,1973-09-07,Salta,Perú,34205,Silver,2020-04-06,2026-02-28,false,0
152,Camila,Fernández,camila.fernández152@email.com,+1 930-421-5673,1999-05-05,Santa Fe,Argentina,12117,Silver,2023-07-02,2025-11-05,false,1
153,Laura,Fernández,laura.fernández153@email.com,+1 539-665-2713,1986-01-06,Mar del Plata,Argentina,81342,Gold,2023-01-09,2024-09-02,true,0
154,Carlos,Fernández,carlos.fernández154@email.com,+1 639-583-9593,1985-12-30,Neuquén,Argentina,92652,Silver,2024-02-16,2024-12-15,false,1
155,Laura,Ramírez,laura.ramírez155@email.com,+1 239-345-3361,1999-02-01,Mendoza,Uruguay,16958,Gold,2021-01-18,2022-10-12,false,0
156,María,Martínez,maría.martínez156@email.com,+1 564-143-4333,1986-06-06,Mar del Plata,Argentina,82841,Platinum,2022-10-12,2024-04-04,true,1
157,Diego,González,diego.gonzález157@email.com,+1 538-833-4946,1980-06-19,Tucumán,Perú,30791,Gold,2020-04-23,2024-07-18,true,1
158,Valentina,López,valentina.lópez158@email.com,+1 207-190-5901,2002-09-19,Mar del Plata,México,14807,Platinum,2023-08-09,2025-05-11,false,0
159,Mateo,Pérez,mateo.pérez159@email.com,+1 312-773-3368,1992-08-16,La Plata,Uruguay,71259,Platinum,2020-11-30,2024-01-31,false,1
160,Camila,Pérez,camila.pérez160@email.com,+1 999-301-7454,1977-05-31,Buenos Aires,Argentina,78868,Silver,2020-07-16,2021-06-07,true,0
161,Lucía,Pérez,lucía.pérez161@email.com,+1 585-831-5501,1967-09-01,Buenos Aires,México,91218,Platinum,2021-07-01,2021-11-03,false,0
162,Pedro,Sánchez,pedro.sánchez162@email.com,+1 497-116-1939,1960-01-14,Neuquén,Uruguay,39734,Platinum,2020-04-18,2025-08-08,true,1
163,Juan,Martínez,juan.martínez163@email.com,+1 271-160-5275,1973-02-03,Mar del Plata,Argentina,32089,Gold,2023-12-11,2026-01-22,false,0
164,Laura,García,laura.garcía164@email.com,+1 243-161-4382,1980-09-23,Rosario,Argentina,19400,Silver,2020-08-17,2021-10-23,true,0
165,Lucas,García,lucas.garcía165@email.com,+1 675-160-6019,1972-01-08,Mendoza,México,35988,Platinum,2020-04-14,2023-07-21,true,0
166,Lucas,Martínez,lucas.martínez166@email.com,+1 929-425-6173,1974-02-09,Córdoba,Chile,32436,Gold,2021-11-15,2023-12-02,true,0
167,Laura,Sánchez,laura.sánchez167@email.com,+1 344-759-7066,1969-10-10,Mar del Plata,México,74117,Bronze,2022-03-15,2023-08-10,true,0
168,Juan,García,juan.garcía168@email.com,+1 398-819-3576,1998-01-31,Rosario,Argentina,52601,Bronze,2022-01-27,2023-10-30,true,1
169,Carlos,Torres,carlos.torres169@email.com,+1 928-895-9768,1967-09-18,Tucumán,Uruguay,16856,Gold,2024-02-17,2024-04-24,true,0
170,Martín,Pérez,martín.pérez170@email.com,+1 613-636-7483,2001-01-14,La Plata,Chile,68205,Silver,2022-12-13,2023-05-23,true,1
171,Pedro,García,pedro.garcía171@email.com,+1 778-531-7520,1991-09-04,Santa Fe,Argentina,13993,Bronze,2021-05-18,2022-11-14,true,0
172,Lucas,Martínez,lucas.martínez172@email.com,+1 782-870-6153,2003-10-17,Rosario,Uruguay,82361,Gold,2020-12-23,2021-04-16,true,1
173,Gabriel,Torres,gabriel.torres173@email.com,+1 487-903-5923,1981-09-30,Mar del Plata,Perú,32711,Bronze,2023-12-01,2025-10-10,false,0
174,Sofía,Martínez,sofía.martínez174@email.com,+1 447-294-8805,1980-04-24,La Plata,Argentina,78987,Gold,2021-07-31,2023-05-04,false,0
175,María,López,maría.lópez175@email.com,+1 891-298-5639,1973-01-30,Córdoba,Uruguay,34165,Silver,2020-06-22,2022-06-16,false,0
176,Ana,Rodríguez,ana.rodríguez176@email.com,+1 988-354-5842,1986-03-02,Mar del Plata,Argentina,76313,Gold,2023-09-11,2025-04-11,true,1
177,Valentina,Pérez,valentina.pérez177@email.com,+1 376-293-3818,1971-09-15,Rosario,Colombia,63184,Silver,2020-03-18,2025-04-01,false,1
178,Lucía,González,lucía.gonzález178@email.com,+1 967-328-4392,1979-11-26,Santa Fe,Colombia,85885,Bronze,2021-11-01,2023-09-08,false,1
179,Diego,Sánchez,diego.sánchez179@email.com,+1 506-537-4827,1998-04-07,Santa Fe,Argentina,51747,Platinum,2024-05-13,2025-04-21,true,1
180,Martín,González,martín.gonzález180@email.com,+1 281-473-4587,1982-04-26,Córdoba,Argentina,18808,Gold,2022-03-22,2025-09-12,true,1
